timestamp,model,prompt_tokens,completion_tokens,total_tokens
2025-04-27 21:03:01,gemini-1.5-flash-latest,50,150,200
2025-04-27 21:06:56,gemini-1.5-flash-latest,50,150,200
2025-04-27 21:09:05,gemini-1.5-flash-latest,50,150,200
2025-04-27 21:10:56,gemini-1.5-flash-latest,50,150,200
2025-04-27 21:11:11,pdf-extraction,2538,0,2538
2025-04-27 21:11:11,text-extraction,2538,0,2538
2025-04-27 21:11:11,models/embedding-001,3115,0,3115
2025-04-27 21:11:19,embedding-storage,2538,0,2538
2025-04-27 21:11:47,gemini-1.5-flash-latest,22,0,22
2025-04-27 21:11:53,gemini-1.5-flash-latest,22,533,555
2025-04-27 21:12:01,gemini-1.5-flash-latest,4,0,4
2025-04-27 21:12:08,gemini-1.5-flash-latest,4,617,621
2025-04-27 21:20:02,gemini-1.5-flash-latest,50,150,200
2025-04-27 21:20:11,pdf-extraction,2538,0,2538
2025-04-27 21:20:11,text-extraction,2538,0,2538
2025-04-27 21:20:11,models/embedding-001,3115,0,3115
2025-04-27 21:20:20,embedding-storage,2538,0,2538
2025-04-27 21:20:50,image-extraction,146,0,146
2025-04-27 21:20:50,text-extraction,146,0,146
2025-04-27 21:20:50,models/embedding-001,146,0,146
2025-04-27 21:20:53,embedding-storage,146,0,146
2025-04-27 21:25:12,gemini-1.5-flash-latest,50,150,200
2025-04-27 21:26:24,gemini-1.5-flash-latest,50,150,200
2025-04-27 21:27:43,gemini-1.5-flash-latest,50,150,200
2025-04-27 21:28:04,image-extraction,146,0,146
2025-04-27 21:28:04,text-extraction,146,0,146
2025-04-27 21:28:04,models/embedding-001,146,0,146
2025-04-27 21:28:07,embedding-storage,146,0,146
2025-04-27 21:29:41,gemini-1.5-flash-latest,50,150,200
2025-04-27 21:30:25,gemini-1.5-flash-latest,50,150,200
